		Structural Health Monitor
	 TIMESTAMP 	 ACCx 	ACCy 	ACCz 	  BAT 	 HUM 	 TEMP 	 MAS 	 RLE 
200/1/6 17:31:50	-4.35	-4.43	2.55	211.00	81.00	30.00	5264	5348
200/1/6 17:31:55	-4.43	-4.51	2.59	211.00	81.00	30.00	5272	5340
200/1/6 17:32:0		-4.39	-4.51	2.59	211.00	81.00	30.00	5276	5336
200/1/6 17:32:4		-4.43	-4.47	2.59	211.00	81.00	30.00	7224	5340
200/1/6 17:32:9		-4.43	-4.47	2.51	212.00	80.00	31.00	5292	5340
200/1/6 17:32:13	-4.31	-4.47	2.51	212.00	81.00	30.00	5276	5336
200/1/6 17:32:18	-4.35	-4.43	2.55	212.00	81.00	30.00	5280	5332
200/1/6 17:32:22	-4.31	-4.47	2.59	213.00	81.00	30.00	5272	5352
200/1/6 17:32:27	-4.39	-4.55	2.51	211.00	81.00	30.00	5268	5352
		Structural Health Monitor
	 TIMESTAMP 	 ACCx 	ACCy 	ACCz 	  BAT 	 HUM 	 TEMP 	 MAS 	 RLE 
200/1/9 21:2:16		-4.39	-4.20	2.82	191.00	65.00	32.00	5268	5344
		Structural Health Monitor
	 TIMESTAMP 	 ACCx 	ACCy 	ACCz 	  BAT 	 HUM 	 TEMP 	 MAS 	 RLE 
200/1/9 21:23:34	-4.47	-4.16	2.79	192.00	62.00	32.00	97480	5348
200/1/9 21:23:38	-4.43	-4.20	2.82	192.00	62.00	29.00	5272	5340
200/1/9 21:23:43	-4.43	-4.20	2.86	192.00	62.00	32.00	5284	5344
200/1/9 21:23:48	-4.43	-4.20	2.82	192.00	61.00	33.00	5288	5332
200/1/9 21:23:52	-4.39	-4.20	2.82	192.00	62.00	32.00	5280	5336
200/1/9 21:23:57	-4.47	-4.20	2.79	192.00	62.00	32.00	5284	5340
200/1/9 21:24:1		-4.43	-4.16	2.86	192.00	62.00	32.00	5284	5340
200/1/9 21:24:6		-4.39	-4.16	2.82	192.00	61.00	33.00	5260	5348
200/1/9 21:24:10	-4.51	-4.16	2.86	191.00	62.00	32.00	5260	5352
200/1/9 21:24:15	-4.43	-4.16	2.79	191.00	61.00	33.00	5264	5352
200/1/9 21:24:20	-4.43	-4.24	2.90	191.00	62.00	32.00	5264	5340
200/1/9 21:24:24	-4.47	-4.24	2.79	191.00	62.00	32.00	5288	9268
200/1/9 21:24:29	-4.43	-4.12	2.90	191.00	63.00	32.00	5272	5344
200/1/9 21:24:33	-4.43	-4.12	2.90	191.00	63.00	32.00	5284	5336
200/1/9 21:24:38	-4.43	-4.24	2.86	191.00	61.00	33.00	5276	5352
200/1/9 21:24:42	-4.39	-4.24	2.86	191.00	62.00	32.00	5284	5340
200/1/9 21:24:47	-4.39	-4.20	2.86	191.00	63.00	32.00	5288	5340
200/1/9 21:24:51	-4.35	-4.24	2.82	191.00	62.00	33.00	5292	5332
